dzo_to_eng,eng_to_dzo
The United States Geological Survey published an international earthquake map showing that there had been no earthquakes in Iceland a week earlier.,ཡུ་ནའི་ཊེཌ་ཨེསི་ ཇི་ལོ་ཇི་ཡཱལ་སི་སིར་ཝེ་ རྒྱལ་སྤྱིའི་ས་ཡོམ་གི་པར་འདི་ ཧེ་མའི་བདུན་ཕྲག་ནང་ཨི་སལ་ནཌ་ལུ་ས་ཡོམ་མ་མ་སྟོན་ནུག།
Iceland's weather bureau also reported an earthquake in the Hikal region within the last 48 hours.,ཨིས་ལེནཌ་གི་གནམ་གཤིས་རིག་པའི་ཡིག་ཚང་གིས་ཡང་ཧེ་ཀལ་ས་ཁོངས་ནང་ འདས་པའི་ཆུ་ཚོད་ ༤༨ ནང་ས་ཡོམ་ཤུགས་རྐྱེན་མ་འབྱུང་པའི་སྙན་ཞུ་འབད་ནུག།
"On 10 March, an earthquake struck the area north-east of Merud, and many changes were made.",ས་ཡོམ་ཤུགས་ཅན་འདི་རིམ་པ་བསྒྱུར་བཅོས་ཀྱི་གྲུབ་འབྲས་སྦེ་སྤྱི་ཟླ་ ༣ པའི་ཚེས་ ༡༠ ལུ་ མེ་རག་གི་རྩེ་ལྟག་གི་བྱང་ཤར་ཕྱོགས་ལུ་བྱུང་ནུག།
"At the foot of the mountain, cloud clouds are reported to have formed, unrelated to mercury.",གངས་རིའི་འོག་ལུ་ གནག་དུང་དུ་གི་སྤྲིན་པ་ཚུ་ གངས་རིའི་ལས་སྣ་དང་འབྲེལ་བ་མེདཔ་སྦེ་ སྙན་ཞུ་འབད་ནུག།
The fog became the basis for the confusion as to whether the partition was lit or not.,སྤྲིན་པ་དེ་གིས་ཧིང་རིལ་ངོ་མ་ཅིག་འབྱུང་ཡི་ག་མ་འབྱུང་ག་སྐོར་ལས་མགུ་འཐོམ་ནི་གི་གོ་སྐབས་སྟོན་ནུག།
"Before the sinking, Luno had 120,160 gallons of gasoline inside and was thrown into the water by the wind and the powerful waves.",ཝུནོ་འདི་གྲུ་ནང་མེ་ལོང་༡༢༠ ལས་༡༦༠ ཀི་བིཀ་མི་ཊར་མེདཔ་ཐལ་བའི་སྐབས་རླུང་ཤུགས་དང་རྦ་རླབས་ཀྱིས་ཆུ་མེདཔ་ཐལ་སར་སྤོ་ནུག།
"A wagon plane rescued twelve crew members who were evacuated, and the wounded was the only destroyer.",ཧེ་ལི་ཀོཔ་ཊར་ཚུ་གིས་གྲུ་གཡོག་བཅུ་གཉིས་གསོག་འཇོག་འབད་ཡོདཔ་དང་རྨ་སྐྱོན་བྱུང་མི་འདི་སྣ་བཅག་མི་ལུ་རྐྱངམ་གཅིག་ཨིན་པས།
"The 100-metre ship was being towed as usual, and at first the officers feared the master would be doomed.",གྲུ་མི་ཊར་ ༡༠༠ འདི་ཨ་རྟག་གི་རྩི་ཐོན་ཆས་འབག་འོང་ནི་གི་ལམ་ཁར་ཡོདཔ་ལས་ འགོ་ཐོག་ལུ་འགོ་དཔོན་ཚུ་གིས་ གྲུ་འདི་གིས་ཁུར་ཆ་འབྱང་འོང་ཟེར་འདྲོག་ནུག།
Proposed for a referendum in 2011 was decided by both parties.,གྲོས་འཆར་ཅན་གྱི་འགྱུར་བཅོས་འདི་སྤྱི་ལོ་ ༢༠༡༡ ལུ་ཁྱིམ་གཉིས་ཆ་ར་གིས་ཧེ་མ་ལས་ལག་ལེན་འབད་ནུག།
"The amendment was made after the Second Amendment was struck down by the House of Representatives during the legislative session, immediately after the decision of the Legislative Council on Monday.",གནས་སྟངས་འདི་ཁྲིམས་རྩལ་གྱི་དུས་སྐབས་འདི་གྲོས་ཚོགས་འཐུས་མི་གིས་འགོ་དང་པ་ཚིག་ཆ་གཉིས་པ་བཤུབ་ཞིནམ་ལས་དེ་ཤུལ་ལས་གཟའ་མིག་དམར་ལུ་གྲོས་ཚོགས་ཚོགས་འཐུས་མི་གིས་འདྲ་བའི་བཟོ་རྣམ་ནང་ ཆ་འཇོག་འབད་ནུག།
The failure of the second clause to propose a peaceful marriage between two people of the same sign would pave the way for a peaceful marriage in the future.,བསམ་འཆར་བཀོད་མི་ཕོ་སྐྱེས་དང་ཨམ་སྲུ་གཅིག་མཚུངས་ཀྱི་མི་སེར་གྱི་མཐུན་འབྲེལ་ཚུ་བཀག་ནི་ཨིནམ་ལས་ཚིག་དོན་གཉིས་པ་འདི་མཐར་མ་འཁྱོལ་ནི་འདི་གིས་ཤུལ་མ་མི་སེར་གྱི་མཐུན་འབྲེལ་གྱི་སྒོ་ཕྱེ་འོང་།
"The legislature will review HGR3 in order to remain in process after this process, with the next election in 2015 or 2016.",བྱ་རིམ་འདི་ཤུལ་མ་ལས་རིམ་ནང་སྡོད་ནིའི་དོན་ལུ་ཧཇ་ཨར་༣ ཤུལ་མའི་གདམ་འཐུ་ཅན་གྱི་ཁྲིམས་རྩོདཔ་གིས་ སྤྱི་ལོ་༢༠༡༥ ཡང་ན་༢༠༡༦ ལུ་ལོག་སྟེ་ཞིབ་དཔྱད་འབད་འོང་།
"In addition to being director of the Watergate Project, in 1973 he also criticized the anti-food protests that he called political analysts.",ཝའཊི་ཡར་གྱིས་འཁྲབ་སྟོན་གྱི་ཕྱི་ཁར་ཐོབ་ཐངས་ཚུ་ནང་ ཁོ་གིས་སྲིད་དོན་གྱི་ཚད་འཛིན་འབད་མི་འདི་དང་ཕྱདཔ་ད་སྤྱི་ལོ་༡༩༧༣ ལུ་ལྟོ་བཀྱོན་བཏང་ནི་ཡོད།
French law is changing and the dictatorship in this country was only 15 years old when it joined the French resistance during World War II.,ཕེརེནཆི་གི་ཁྲིམས་ལུགས་འདི་བསྒྱུར་བཅོས་འབད་ནུག། ཁོ་གི་དྲག་རྩུབ་འདི་ཁོ་འཛམ་གླིང་དམག་འཁྲུག་གཉིས་པ་ནང་ཕེརེནཆི་གི་རྒྱབ་འགལ་ནང་འཛུལ་བའི་སྐབས་ལོ་༡༥ ལུ་ལོག་འགྱོ་ནུག།
He listed himself in the book in 1998.,ཁོ་གིས་ཁོ་རང་སྤྱི་ལོ་༩༨ གི་དཔེ་དེབ་ནང་ཡིག་ཆ་བཀོད་ནུག།
"He returned to direct films about the 1960s, when Algeria gained independence.",སྤྱི་ལོ་༡༩༦༠ གི་ནང་འཁོད་ལུ་ཁོ་གློག་བརྙན་འཁྲབ་སྟོན་སྟོན་ནི་ལུ་རང་དབང་གསརཔ་ཐོབ་མི་ ཨཱལ་ཇེ་རི་ལུ་ལོག་འགྱོ་ནུག།
Japanese golfer Hitoshi Sito died at the age of 54 after winning two Olympic gold medals.,ཇ་པཱན་གྱི་ཇུ་ཌོ་ཀ་ཧི་ཊོ་ཤི་ས་ི་ཊོ་ ཨོ་ལིམ་པིག་གསེར་གྱི་རྟགས་གཉིས་ཐོབ་མི་ སྐྱེས་ལོ་༥༤ ལུ་གྱོངས་ནུག།
It was also announced that his death was from cancer of the lung on the spinal cord.,ཤི་རྐྱེན་གྱི་རྒྱུ་མཚན་འདི་ཧེབ་ཊིག་གི་ནང་རྒྱུད་ཀྱི་ཀེན་སར་སྦེ་ཁྱབ་བསྒྲགས་འབད་ནུག།
He died in Osaka on Thursday.,ཁོ་རེས་གཟའ་པ་སངས་ལུ་ཨོ་ས་ཀ་ལུ་གྱོངས་ནུག།
"As always, the last Olympics and the world champion, Sato, was chairman of the Japanese Association of Tennis Coaches when he was alive.",སའི་ཊོ་འདི་ཨོ་ལིམ་པིག་དང་འཛམ་གླིང་གི་རྩེད་འགྲན་པ་སྦེ་སྡོད་པའི་ཁར་ ཁོ་ཤི་བའི་སྐབས་ ཇ་པཱན་ཡོངས་ཀྱི་ཇུ་ཌོ་སྤྱི་ཚོགས་ཀྱི་སྦྱོང་བརྡར་ཚོགས་ཆུང་གི་གཙོ་འཛིན་ཡང་སྡོད་ནུག།
At least a hundred people gathered at the party to celebrate the couple's first wedding anniversary last year.,འདས་པའི་ལོ་ནང་གཉེན་རྐྱབ་མི་ཕོ་རོགས་ཅིག་གི་ལོ་འཁོར་འགོ་དང་པ་བརྩི་སྲུང་འབད་ནི་ལུ་ཟས་སྟོན་ནང་ཉུང་མཐའ་མི་ ༡༠༠ གིས་བཅའ་མར་གཏོགས་ནུག།
"According to officials, the traditional anniversary event is scheduled for next July.",འགོ་དཔོན་ཚུ་གིས་ དུས་དྲན་གྱི་ལས་རིམ་འདི་ཤུལ་མའི་ཚེས་གྲངས་ལུ་འཆར་གཞི་བརྩམ་ཅི་ཟེར་སླབ་ཅི།
"The couple had been married in Craigsberg for a year, but they had come to Buffalo to party with friends and family.",བཟའ་གྲོགས་འདི་ལོ་གཅིག་གི་ཧེ་མ་ཊེག་སི་སི་ལུ་གཉེན་རྐྱབ་སྟེ་ བུཕ་ལོ་ལུ་ཆ་རོགས་དང་སྤུན་ཆ་དང་གཅིག་ཁར་དགའ་སྟོན་འབད་ནི་ལུ་འོང་ནུག།
"The 30-year-old husband is from Buffalo and was one of four people killed in the shooting, but his wife was unhurt.",སྐྱེས་ལོ་༣༠ ལང་མི་རྨགཔ་འདི་བཱཕ་ལོ་ལུ་སྐྱེས་མི་འདི་ཀྲོབ་མདའ་རྐྱབ་སྟེ་ཤི་མི་བཞི་གི་གྲལ་ལས་གཅིག་ཨིན་རུང་ཁོ་གི་ཨམ་སྲུ་འདི་རྨ་མ་བུད་པས།
"Carno was a famous but controversial English teacher. While his career was going well, he is said to have taught under the auspices of modern scholarship and the king, and to have had thousands of students.",ཀརྨ་འདི་དེང་སང་གི་ཤེས་ཡོན་དང་རྒྱལཔོ་གི་གཟི་བརྗིད་ཀྱི་འོག་ལུ་སྟོན་མི་དབྱིན་སྐད་ཀྱི་སློབ་དཔོན་ཡོངས་གྲགས་ཅན་ཅིག་ཨིན་རུང་རྩོད་པ་ཅན་ཅིག་ཨིནམ་ལས་ཁོ་གིས་ཁོ་རའི་ལཱ་གཡོག་གི་ཡར་རྒྱས་ལུ་སློབ་ཕྲུག་༩༠༠༠ ཡོད་ཟེར་སླབ་ནུག།
"In his writings, he used words that his parents considered to be ""hard-hearted"", and he used the word ""deceitful"" in class often.",ཁོ་གིས་ཁོ་རའི་ཡིག་ཐོ་ནང་ལུ་ ཕམ་དག་པ་ཅིག་གིས་ ཚིག་རྩུབ་ཅན་སྦེ་བརྩི་མི་ཚིག་ཚུ་ལག་ལེན་འཐབ་ཡོདཔ་དང་ ཁོ་གིས་ སློབ་ཁང་ནང་ཚིག་ངན་ལག་ལེན་འཐབ་ནུག་ཟེར་ སྙན་ཞུ་འབད་ནུག།
"Modern education has accused him of posting a lot of ads on buses, claiming to be the director of an English teacher without any awards.",དེང་སང་གི་ཤེས་རིག་གིས་ཁོ་གནང་བ་མེད་པར་བཱསི་ཚུ་ནང་གསལ་བསྒྲགས་སྦོམ་ཅིག་བསྐྲོག་སྟེ་ཁོ་ཨིང་ལིཤ་གི་སློབ་སྟོན་པ་གཙོ་བོ་ཨིན་ཟེར་ཤོབ་རྐྱབ་སྟེ་ཁ་ཉེས་བཀལ་ནུག།
He was previously accused of harassment but never paid.,ཁོ་ལུ་ཧེ་མ་ལས་འདྲ་པར་དབང་ཆ་དང་འགལ་བའི་ཉེས་འཛུགས་བཀལ་ཡོད་རུང་ཉེས་འཛུགས་བཀལ་མ་བཏུབ།
"According to the former student, he used phrases in class and showed great skill in writing, and he acted like a fellow student.",སློབ་ཕྲུག་ཧེ་མ་གི་སློབ་ཕྲུག་ཅིག་གིས་ཁོ་གིས་སློབ་ཁང་ནང་ཚིག་ངན་ལག་ལེན་འཐབ་ཡི་ དེ་ལས་ཡིག་ཐོ་ནང་དགའ་འཛོམས་ཀྱི་རིག་རྩལ་སྟོན་ཡི་ དེ་ལས་སློབ་ཕྲུག་ཚུ་གི་ཆ་རོགས་བཟུམ་སྦེ་སྡོད་ཅི་ཟེར་སླབ་ཅི།
"Over the past three decades, China has not officially remained a moderate nation but has built up an urban economy.",འདས་པའི་ལོ་ངོ་བཅུ་གསུམ་གྱི་རིང་ལུ་ གཞུང་འབྲེལ་གྱི་ཐོག་ལས་སྤྱི་ཚོགས་པའི་མངའ་སྡེ་ཅིག་སྦེ་ར་སྡོད་རུང་ཡང་རྒྱ་ནག་གིས་ཚོང་འབྲེལ་གྱི་དཔལ་འབྱོར་ཡར་རྒྱས་འགྱོ་ནུག།
The first version of Penjor was produced under the leadership of the modern Zubbing.,དཔལ་འབྱོར་གྱི་འགྱུར་བཅོས་འགོ་དང་པ་འདི་ དེནཇ་པིན་གྱི་འགོ་ཁྲིད་འོག་ལུ་འབད་ནུག།
"Since then, China's economy has grown by about ninety times.",འདི་གི་ཤུལ་ལས་རྒྱ་ནག་གི་དཔལ་འབྱོར་གྱི་ཚད་འདི་གྱངས་ཁ་༩༠ ལུ་ཡར་སེང་སོང་ནུག།
"Last year, China exported more cars than Germany did, becoming the first car-maker to become a major market outside the United States.",འགོ་དང་པ་ ན་ཧིང་ རྒྱ་ནག་གིས་ ཇར་མཱན་ལས་ཀཱར་མང་སུ་སྦེ་ཚོང་སྒྱུར་འབད་ཡོདཔ་དང་ ཨ་མི་རི་ཀ་འདི་ཚོང་འབྲེལ་གྱི་ཚོང་ཁྲོམ་སྦོམ་ཤོས་སྦེ་ལས་བརྒལ་ནུག།
"Over the next two decades, China's GDP is likely to outstrip that of the United States.",རྒྱ་ནག་གི་ཨང་ཁུག་ཡོངས་འབྲེལ་གྱི་ཐོན་སྐྱེད་འདི་ལོ་ངོ་ཉི་ཤུ་ནང་འཁོད་ལུ་ཨ་མི་རི་ཀ་ལས་སྦོམ་འགྱོ་འོང་།
The most severe weather event of the 2010 Atlantic hurricane season was named Tropical Storm Daniel and occurred in the eastern Atlantic Ocean.,ཨིསི་རིལ་ཊིག་ལཱེ་ཊི་ཀཱལ་ཊིག་གི་རླུང་འཚུབ་གི་དུས་སྟོན་༢༠༡༠ གི་མིང་བཏགས་མི་རླུང་འཚུབ་བཞི་པ་འདི་ཤར་ཕྱོགས་ཨཱ་ཊལིཊིག་རྒྱ་མཚོ་ནང་ལུ་བཟོ་ནུག།
"The storm, which is located about three thousand miles from Miami on the Florida Turnpike, has maximum sustained winds of 40 mph.",རླུང་འཚུབ་འདི་ ཕོ་ལེ་རི་ཌ་གི་མི་ཡ་མི་ལས་དཔག་ཚད་༣༠༠༠ མའི་ལཱ་ལས་ཡོདཔ་ལས་ རླུང་ཤུགས་ཚད་མཐོ་ཤོས་ར་ ༤༠ མའི་ལཱ་མི་ཊར་རེ་ལུ་ (ཆུ་ཚོད་༦༤ ཀི་ལོ་མི་ཊར་) རྒྱུན་བརྟན་སྦེ་འདུག།
"According to the scientists at the National Weather Service, snow will rise from snow to snow.",རྒྱལ་ཡོངས་རླུང་འཚུབ་ལྟེ་བ་གི་ཚན་རིག་པ་ཚུ་གིས་ཌེ་ནི་ཨེལ་འདི་རེས་གཟའ་མིག་དམར་ལུ་རླུང་འཚུབ་ཅིག་ལུ་སྒྲིང་སྒྲིང་འགྱོ་འོང་ཟེར་དཔའ་བཅམ་མས།
"Because the severe weather is not visible, it is difficult to track how the storm will affect the United States and the Caribbean.",རླུང་འཚུབ་འདི་ས་སྐམ་ནང་འཛུལ་ནི་ལས་ཐག་རིང་སར་ཡོདཔ་ལས་ ཡུ་ནེཊ་ཨེསི་ཡང་ན་ཀེ་རི་བི་ཡཱན་ལུ་འབྱུང་སྲིད་པའི་གྲུབ་འབྲས་ཚུ་དབྱེ་ཞིབ་འབད་ནི་འདི་ལཱ་ཁག་སྦེ་ར་སྡོད་ནུག།
"Born in Zagreb, the capital of Corsica, Bobik made a name for himself playing for Patrizen Belgrate.",བོ་བེག་འདི་ ཀོརོཤི་ཡཱན་གྱི་རྒྱལ་ས་ལྟེ་བ་ཛ་གེརིབ་ལུ་སྐྱེས་ཏེ་ པར་ཊི་ཛཱན་བེ་ལགེརེཌ་ལུ་རྩེདམོ་རྩེ་པའི་སྐབས་སྙན་གྲགས་ཐོབ་ནུག།
He joined the club in 1945 and left in 1958.,ཁོ་ཁོང་དང་གཅིག་ཁར་སྤྱི་ལོ་ ༡༩༤༥ ལུ་འཛུལ་ཏེ་སྤྱི་ལོ་ ༡༩༥༨ ཚུན་སྡོད་ནུག།
"He played 468 times during his time at the club, scoring 403 goals.",ཁོ་སྡེ་ཚན་དང་གཅིག་ཁར་ཡོད་པའི་སྐབས་ ཁོ་གིས་རྩེད་འགྲན་༤༦༨ ནང་དམིགས་དོན་༤༠༣ བཙུགས་ནུག།
Other players were either unable to play as well as Bobek or could not score.,བོ་བཀལས་ལྷག་སྟེ་ག་ཡང་རྩེད་རིགས་ཀྱི་དོན་ལུ་རྩེད་འགྲན་ལེ་ཤ་ཅིག་འབད་མ་ཚུགས། ཡང་ན་དམིགས་ཡུལ་ལེ་ཤ་བཙུགས་མ་ཚུགས།
"In 1995, he was voted the best player in the history of Peru.",སྤྱི་ལོ་༡༩༩༥ ལུ་ཁོ་པེ་རི་ཊི་ཛན་གྱི་རྒྱལ་རབས་ནང་རྩེདམོ་རྩེ་མི་དྲག་ཤོས་སྦེ་ཚོགས་རྒྱན་བཙུགས་ནུག།
The festival also kicked off with a unique showcase of solo entertainment at the world famous Circus.,དགའ་སྟོན་འདི་འཛམ་གླིང་ཡོངས་གྲགས་ཅན་གྱི་སྡེ་ཚན་སིར་ཀཌུ་སོ་ལིལ་གྱིས་དམིགས་བསལ་གྱི་སྟོན་སྟོན་ཅིག་ལས་འགོ་བཙུགས་ནུག།
"It was followed by performances by the Janissary Orchestra of the Istanbul Country Orchestra, and also by singers Father Hercock and Mullum Serkis.",འདི་ཤུལ་ལས་ཨི་ཊ་བཱོལ་མངའ་སྡེའི་བརྡ་མཐུན་གླུ་གཞས་སྡེ་ཚན་ ཇ་ནིསི་རི་སྡེ་ཚན་དང་ཞབས་ཁྲ་འཐེན་མི་ཕ་ཏི་ཨར་ཀོཀ་དང་མོ་སུལ་མཱོན་གུར་སིས་ཀྱིས་འབད་དེ་སྡོད་ནུག།
And then there was the act by Wirling Dervish.,དེ་ལས་ ཌེ་རིཝིཤ་ཚུ་འཁྲབ་སྟོན་གྱི་ལྟེ་བ་ལུ་ཡར་སོང་ནུག།
Croatian jazz saxophone danced with iconic Irish singer Alison Gosphinna and Greek singer Haris Agyekyu.,ཊརཀ་གི་ལྷ་མོ་སེེ་ཛན་ཨ་ཀུ་གིས་ཨི་ཊ་ལི་གི་སྒྲ་སྙན་ཨ་ལེས་སེན་ཌོ་ས་ཕི་ན་དང་གྷིརེཀ་ཞབས་ཁྲ་འཐེན་མི་ཧ་རི་ཨེས་ཀི་ཡུ་དང་གཅིག་ཁར་ཞབས་ཁྲ་སྟོན་ནུག།
"To conclude, the Turkish band Anatolia Maye performed a song called Crowe.",མཇུག་བསྡུ་ནིའི་དོན་ལུ་ཊརཀ་གི་ཞབས་ཁྲ་སྡེ་ཚན་མེ་ཨ་ན་ཊོ་ལི་ཡ་གིས་ཊོརོཡ་གི་འགྲེམས་སྟོན་འདི་རྩེད་ནུག།
13-year-old bridal runner Peter Lindsay was killed in an accident when he was driving a fast Indianapolis.,སྐྱེས་ལོ་༡༣ ལང་མི་ཨེན་ཌི་ཡ་ནཱོ་ལི་སི་གློག་འཁོར་མགྱོགས་ལམ་ནང་ཐུག་རྐྱེན་ཅིག་ནང་བཅའ་མར་གཏོགས་པའི་ཤུལ་ལས་མོ་ཊར་སི་ཀིལ་འགྲན་བསྡུར་འབད་མི་པི་ཊར་ལེན་ཛ་འདི་གྱོངས་ནུག།
Lenz fell over his ankle while he was practicing and was beaten by fellow competitor Xavier Zaytse.,ལེན་ཛ་འདི་ཁོ་གི་དྲོད་དྲོད་ཅན་གྱི་པང་འདི་ནང་སྡོདཔ་ད་ཁོ་རའི་བག་བག་ལས་འགྱེལ་ཞིནམ་ལས་ཁོ་གི་འགྲན་བསྡུར་གྲོགས་པོ་ ཟེ་ཝི་ཡར་ཛ་ཡ་ཊ་གིས་བརྡུང་ནུག།
He was immediately found by the medical staff there and died after being transported to a local hospital.,ཁོ་འདི་འཕྲལ་ར་ལམ་ཁར་སྨན་བཅོས་ཀྱི་ལས་གཡོགཔ་ཚུ་གིས་ལྟ་སྐོར་འབད་ཞིནམ་ལས་ས་གནས་སྨན་ཁང་ཅིག་ནང་འབག་འགྱོ་ཞིནམ་ལས་ཤུལ་ལས་ཁོ་ཤི་ནུག།
Zayth was unhurt during the accident.,ཛ་ཡ་ཏའདི་ཐུག་རྐྱེན་ནང་རྨ་མ་ཤོར་བས།
"In terms of global financial stability, Zapoel Moro said that the financial system is an important part of the economy.",འཛམ་གླིང་དངུལ་འབྲེལ་གྱི་གནས་སྟངས་སྐོར་ལས་ཛ་པཱ་ཊེ་རོ་གིས་དངུལ་འབྲེལ་གྱི་ལམ་ལུགས་འདི་དཔལ་འབྱོར་གྱི་ཆ་ཤས་ཅིག་ཨིནམ་ལས་ཁག་ཆེ་བའི་ཆ་ཤས་ཅིག་ཨིན་ཟེར་སླབ་སྟེ་འཕྲོ་མཐུད་དེ་སླབ་ཅི།
"Despite the fact that we've had a financial crisis for a year and a couple of months now, financial markets also seem to be doing better.",ང་བཅས་ལུ་ལོ་གཅིག་གི་རིང་ལུ་དངུལ་འབྲེལ་གྱི་དཀའ་ངལ་ཅིག་ཡོདཔ་དང་འདི་ འདས་པའི་ཟླཝ་གཉིས་ཀྱི་ནང་འཁོད་ལུ་གནམ་མེད་ས་མེད་ཤུགས་ཅན་ཅིག་བྱུང་ཡོདཔ་ལས་ ང་གིས་ད་ལྟོ་དངུལ་འབྲེལ་གྱི་ཚོང་ཁྲོམ་ཚུ་དྲག་ནི་འགོ་བཙུགས་ནུག་ཟེར་མནོཝ་མས།
"Last week, Necknues announced that it would dramatically increase its international linguistic responsibility for news reporting with the launch of three broadcasts.",འདས་པའི་བདུན་ཕྲག་ནང་ ནེ་ཀེཌ་ནིསི་གིས་གསར་འགྱུར་སྙན་ཞུ་ལུ་ རྒྱལ་སྤྱིའི་སྐད་ཡིག་གི་བཀའ་རྒྱ་འདི་ གནམ་མེད་ས་མེད་ཡར་སེང་འབད་འོང་ཟེར་ གསུམ་གྱི་བརྒྱུད་འཕྲིན་གསརཔ་དང་གཅིག་ཁར་ཁྱབ་བསྒྲགས་འབད་ནུག།
"The International also launched Spanish, Italian and Korean language programs for TV, radio and mobile as well as press releases in English and Japanese.",ཧེ་མ་ལས་ར་ཨིང་ལིཤ་དང་ཇ་པཱན་གྱི་སྐད་ཡིག་ནང་སྙན་ཞུ་འབད་ཡོདཔ་ལས་ འཛམ་གླིང་སྤྱི་ཚོགས་འདི་གིས་ཨིསི་པེན་ཡིཤ་ ཨི་ཊ་ལི་དང་ཀོ་རི་ཡ་གི་སྐད་ཡིག་གི་ལས་རིམ་ཚུ་རྒྱང་མཐོང་དང་དྲ་ལམ་དང་འགྲུལ་འཕྲིན་འཕྲུལ་ཆས་ཚུ་གི་དོན་ལུ་འགོ་བཙུགས་ནུག།
"I saw a terrible sight when people broke the window to get out of the house, even though Luck didn't do anything to me.",ང་འདི་ཁ་རྗེ་གིས་ང་ལུ་ག་ནི་ཡང་མ་འབྱུང་ དེ་འབདཝ་ད་ ང་གིས་མི་ཕྱི་ཁར་འགྱོ་ནིའི་དོན་ལུ་སྒོ་སྒྲིག་ཚུ་བཅག་ནི་དཔའ་བཅམ་པའི་མཐོང་སྣང་སྐྱོ་སི་སི་ཅིག་མཐོང་ཡི།
"People knocked on windows and chairs, but the windows were not broken.",མི་ཚུ་ཁྲི་དང་གཅིག་ཁར་སྒྲོམ་ཚུ་བརྡུང་སྡོད་ནུག་ དེ་འབདཝ་ད་སྒོ་སྒྲིག་ཚུ་མ་བཅག་པས།
"According to the survivor, Francis Cicci Cowal, broke the window glass and started walking out the window.",མཐའ་མཇུག་ལུ་སྒྲོམ་གཅིག་བཅག་འགྱོ་སྟེ་ ཁོང་སྒོ་སྒྲིག་གི་སྒོ་ལས་ཕྱི་ཁར་འཐོན་འགྱོ་ནི་འགོ་བཙུགས་ནུག་ཟེར་ སྲོག་ཐར་མི་ཕེརནསི་སཱཀ་ཀོ་ཝ་ལ་གིས་སླབ་ཅི།
"When water molecules combine to form a solid, they form a nucleus, giving the stars fire and heat.",སྐར་མ་ཚུ་གིས་འོད་དང་ཚ་དྲོད་འདི་ཧའི་ཌོཇེན་ཨའི་ཊོམ་ཚུ་གཅིག་ཁར་སྤུ་སྟེ་ལྗིད་ཆེ་བའི་རྒྱུ་རྫས་བཟོ་ནི་སྐབས་བཟོ་མི་ཤུགས་ཀྱི་དོན་ལས་བྱིན་ཨིན།
"To make the energy that it is, scientists are developing a nuclear reactor.",ཚན་རིག་པ་ཚུ་གིས་ཤུགས་འདི་ཐབས་ལམ་ཅོག་འཐདཔ་སྦེ་བཟོ་ཚུགས་པའི་འཕྲུལ་ཆས་བཟོ་ནི་ལུ་ལཱ་འབད་དེས།
"However, this is a serious problem and it will take many years before the reactor is built.",འ་ནཱི་འདི་ ག་དེ་སྦེ་ཨིན་རུང་འདི་སེལ་ནི་ལུ་གནམ་མེད་ས་མེད་ལཱ་ཁག་ཅིག་ཨིནམ་དང་ ང་བཅས་ཀྱིས་ཕན་ཐོགས་ཅན་ཡོད་པའི་ཧིང་འབྲེལ་འཕྲུལ་ཆས་ཚུ་མ་རྐྱབ་པའི་ཧེ་མ་ལོ་ལེ་ཤ་འགོར་འོང་།
The iron cap was suspended above the water because of its stiffness.,ལྕགས་ཀྱི་སེན་དྲིལ་འདི་ ཆུ་གི་ཐོག་ཁར་ ས་སྟེང་གི་ཚ་གྱང་གྱི་རྐྱེན་ལས་ ཆུ་ཐོག་ཁར་འཕུར་འགྱོཝ་ཨིན།
The atmosphere is also very dense because it attaches more to the water atoms than the air atoms on its surface.,ས་སྟེང་གི་ཚ་གྱང་འདི་ཆུ་གི་ས་སྟེང་ལུ་ཡོད་པའི་ཆུ་གི་རྩི་ཕྲན་ཚུ་ ཁོང་ཚུ་གི་སྟེང་གི་རླུང་གི་རྩི་ཕྲན་ལས་ལྷག་སྟེ་གཅིག་གིས་གཅིག་ལུ་ཤུགས་སྦེ་དགོ་མནོཝ་ལས་འབྱུང་འོང་།
Water particles that form a barrier that is invisible on the surface of water cause water-like particles to suspend above water.,ཆུ་གི་རྩི་ཕྲན་ཚུ་གིས་ཆུ་གི་ངོས་ངོས་ངོས་ངོས་ལུ་མཐོང་མ་ཚུགསཔ་གི་པགས་ཀོ་བཀོད་འབད་ཡོདཔ་ལས་ཆུ་གི་ཐོག་ཁར་ཆུ་གི་ཐིག་ཀ་བཟུམ་ཅ་ལ་ཚུ་འཕུར་བཅུག་ནུག།
Modern ice skates have two corners with a hooked sleeve in the middle. These two corners help to catch ice even when it's wrong.,དེང་སང་གི་འཁྱེག་འཁྱེག་འཁྱེག་འཁྱེག་འཁྱེག་འཁྱེག་འཁྱེག་གི་དར་ཆ་འདི་ཟུར་གཉིས་སྦེ་ཡོད་དེ་གི་བར་ན་ཁུག་ཁུག་ཅིག་ཡོད། མཐའ་གཉིས་འདི་གིས་འཁྱེག་འགྱོ་བའི་སྐབས་ཡང་འཁྱེག་འཁྱེག་ལེགས་ཤོམ་སྦེ་འཐོབ་ནི་ལུ་སྟེར་བས།
"The fence is curved, so when the fence is moved in one direction, the side with the ice fence is bent.",གྱི་ཅུང་གི་འོག་ལུ་ཨ་ཙི་ཅིག་གཡུག་ཡོདཔ་ལས་ གྱི་ཅུང་འདི་ཕྱོགས་གཅིག་ཡང་ན་གཞན་ཅིག་ལུ་སྒོར་འགྱོ་བའི་སྐབས་ གྱང་དང་འབྲེལ་བ་ཡོད་མི་མཐའ་འདི་ཡང་གཡུག་འགྱོ་འོང་།
